ingestion_year,ingestion_month,ingestion_day,id_sistema_cliente,macroactivo,cod_activo,aba,cod_perfil_riesgo,cod_banca,year,month
2024,3,15,10039616197,Renta Variable,1012,16281600,1466,PN,2024,3
2024,4,18,10032184607,Renta Variable,1022,3287434.68,1468,PN,2024,4
2024,1,29,1.009E+11,FICs,10007,956689228.1,1467,PF,2024,1
2024,2,7,10020203023,FICs,10007,7917444.16,1468,PR,2024,2
2024,4,16,10032184607,Renta Variable,1011,9842080,1468,PN,2024,4
2024,3,12,10039616197,Renta Variable,1004,2060000,1466,PN,2024,3
2023,12,12,10032184607,Renta Variable,1015,4055000,1468,PN,2023,12
2024,2,2,1.00902E+11,FICs,1019,1042592536,1467,PF,2024,2
2024,1,9,10014876058,Renta Variable,1012,7871000,1466,PN,2024,1
2024,2,9,1.0089E+11,FICs,1019,145836033.9,1468,PR,2024,2
2024,1,19,10032184607,Renta Variable,1002,9900000,1468,PN,2024,1
2024,5,10,10079142847,Renta Variable,1014,3831800,1468,PF,2024,5
2024,2,1,10066848163,FICs,10007,1704069.13,1466,PN,2024,2
2023,12,12,10020203023,Renta Fija,1001,659617000,1468,PR,2023,12
2024,4,23,1.00105E+12,Renta Variable,1004,2260000,1466,PN,2024,4
2024,4,12,1004870235,Renta Variable,1004,7430950,1469,PN,2024,4
2023,12,20,10039616197,Renta Variable,1005,74810.5,1466,PN,2023,12
2024,3,1,1.00103E+12,Renta Variable,1004,1145000,1468,PN,2024,3
2024,2,16,10020203023,Renta Fija,1001,659068500,1468,PR,2024,2
2024,2,6,10071747544,FICs,10007,615486.18,1469,PN,2024,2
2024,3,4,1.00114E+12,FICs,10007,10377.54,1468,PN,2024,3
2023,12,20,1.00902E+11,FICs,1019,1028226728,1467,PF,2023,12
2024,2,26,1.009E+11,FICs,10007,1533000550,1467,PF,2024,2
2024,3,21,10020203023,FICs,1019,140555958.4,1468,PR,2024,3
2024,3,14,10038643094,FICs,10007,288744.75,1466,PN,2024,3
2024,3,25,10032184607,Renta Variable,None,4440000,1468,PN,2024,3
2024,1,30,1.00114E+12,FICs,10007,10269.22,1468,PN,2024,1
2024,4,24,10032184607,FICs,1019,78450.04,1468,PN,2024,4
2023,12,8,1.009E+11,FICs,1019,21432847.61,1467,PF,2023,12
2023,12,7,10038643094,Renta Variable,1005,74810.5,1466,PN,2023,12
2024,4,5,1.009E+11,FICs,1019,22239809.28,1467,PF,2024,4
2024,2,28,10020203023,FICs,1020,64597683.11,1468,PR,2024,2
2023,12,1,1.00114E+12,FICs,10007,10029.76,1468,PN,2023,12
2023,12,1,10071747544,FICs,10007,600154.47,1469,PN,2023,12
2024,2,1,10039616197,Renta Variable,1004,2335000,1466,PN,2024,2
2024,2,8,1.0089E+11,FICs,1019,145782456.7,1468,PR,2024,2
2023,12,6,10020203023,Renta Fija,1001,658015500,1468,PR,2023,12
2024,2,8,10036346714,Renta Variable,1004,1182500,1466,PN,2024,2
2024,1,22,10039553126,FICs,1018,640709.18,1466,PN,2024,1
2024,2,13,10098522488,Renta Variable,1004,3465000,1466,PN,2024,2
2024,5,2,10020203023,FICs,10007,81304907.71,1468,PR,2024,5
2024,1,4,10039616197,Renta Variable,1005,90535,1466,PN,2024,1
2024,2,26,10020203023,FICs,10007,150625608.3,1468,PR,2024,2
2024,2,15,1.0089E+11,FICs,1008,22150831.79,1468,PR,2024,2
2023,12,7,10032184607,Renta Variable,1017,4840000,1468,PN,2023,12
2024,4,25,1.00114E+12,Renta Variable,1004,2300000,1466,PN,2024,4
2024,2,1,10032184607,Renta Variable,None,4406700,1468,PN,2024,2
2024,3,6,10020203023,FICs,1020,64725846.45,1468,PR,2024,3
2024,1,15,1.009E+11,FICs,10007,1154247351,1467,PF,2024,1
2023,12,6,10020203023,FICs,10007,10113223.54,1468,PR,2023,12
2024,3,18,10039616197,Renta Variable,1005,90535,1466,PN,2024,3
2024,3,12,10032184607,Renta Variable,1002,11700000,1468,PN,2024,3
2023,12,5,10026419826,Renta Variable,1005,74810.5,1466,PN,2023,12
2023,11,29,10032184607,Renta Variable,1011,6603400,1468,PN,2023,11
2023,12,13,1004870235,Renta Variable,1004,8142600,1469,PN,2023,12
2024,4,17,1.00901E+11,FICs,1019,1069439053,1467,EG,2024,4
2024,2,12,10021382511,Renta Variable,1004,2315000,1466,PN,2024,2
2023,12,18,10071747544,FICs,10007,604460.95,1469,PN,2023,12
2024,5,14,1.009E+11,FICs,10007,104520273.4,1467,PF,2024,5
2024,4,12,1.009E+11,FICs,1019,22257194.65,1467,PF,2024,4
2024,5,15,1.0089E+11,FICs,1019,149619024.2,1468,PR,2024,5
2024,2,22,1.008E+11,FICs,1019,230887869.7,1467,PY,2024,2
2023,12,14,10039616197,Renta Variable,1004,2500000,1466,PN,2023,12
2024,5,10,10039616197,Renta Variable,1004,2280000,1466,PN,2024,5
2024,3,6,10032184607,FICs,1019,77504.21,1468,PN,2024,3
2024,1,22,10020203023,FICs,1020,63750653,1468,PR,2024,1
2024,2,29,1.009E+11,FICs,1019,22025126.68,1467,PF,2024,2
2024,3,22,1.00902E+11,FICs,1019,1058163448,1467,PF,2024,3
2023,12,12,1.00901E+11,FICs,1019,1030359636,1467,EG,2023,12
2024,3,7,1.008E+11,FICs,1019,316943569.4,1467,PY,2024,3
2024,2,5,10098522488,Renta Variable,1004,3480000,1466,PN,2024,2
2024,5,9,10020203023,FICs,1020,66150322.51,1468,PR,2024,5
2024,2,5,1.00105E+12,Renta Variable,1004,2320000,1466,PN,2024,2
2024,3,15,10039616197,Renta Variable,1004,2120000,1466,PN,2024,3
2024,1,18,10032184607,Renta Variable,None,4551000,1468,PN,2024,1
2024,1,19,1.0089E+11,FICs,1008,21998682.25,1468,PR,2024,1
2024,2,28,10039616197,Renta Variable,1012,14704320,1466,PN,2024,2
2024,2,16,10039616197,Renta Variable,1005,101018,1466,PN,2024,2
2023,11,30,10020203023,FICs,1009,1973270.32,1468,PR,2023,11
2024,1,3,10039616197,Renta Variable,1004,2355000,1466,PN,2024,1
2024,3,12,1.00103E+12,Renta Variable,1004,1030000,1468,PN,2024,3
2023,12,19,1.00103E+12,Renta Variable,1004,1170000,1468,PN,2023,12
2024,4,23,1.00902E+11,FICs,1019,1065044163,1467,PF,2024,4
2024,4,2,1.00114E+12,FICs,10007,10463.43,1468,PN,2024,4
2024,4,18,10079142847,Renta Variable,1004,3313780,1468,PF,2024,4
2024,4,8,10098522488,Renta Variable,1004,3435000,1466,PN,2024,4
2024,2,26,1.008E+11,FICs,1019,230953166.5,1467,PY,2024,2
2024,1,30,1.0089E+11,FICs,1008,22048884.79,1468,PR,2024,1
2024,3,7,1.0089E+11,FICs,1008,22304822.52,1468,PR,2024,3
2023,12,21,1.00114E+12,FICs,10007,10128.22,1468,PN,2023,12
2024,4,16,10079142847,Renta Variable,1014,3797300,1468,PF,2024,4
2024,3,7,10071747544,FICs,10007,369155.64,1469,PN,2024,3
2024,1,31,10032184607,Renta Variable,1022,4560276.12,1468,PN,2024,1
2024,2,1,1.00902E+11,FICs,1019,1042314421,1467,PF,2024,2
2024,3,4,10079142847,Renta Variable,1014,3709900,1468,PF,2024,3
2023,11,28,10039616197,Renta Variable,1012,12821760,1466,PN,2023,11
2024,1,24,10038643094,Renta Variable,1005,102924,1466,PN,2024,1
2024,4,30,10098522488,Renta Variable,1004,3465000,1466,PN,2024,4
2023,12,18,10036346714,Renta Variable,1004,1182500,1466,PN,2023,12
2024,5,14,1.00103E+12,Renta Variable,1004,1132500,1468,PN,2024,5
2024,1,18,1.00114E+12,Renta Variable,1004,2315000,1466,PN,2024,1
2024,2,5,10032184607,FICs,1019,76832.68,1468,PN,2024,2
2024,1,3,10066848163,FICs,10007,5716615.33,1466,PN,2024,1
2024,1,9,1.009E+11,FICs,10007,952037631.9,1467,PF,2024,1
2024,4,23,10020203023,FICs,10007,98042114.94,1468,PR,2024,4
2024,4,4,10032184607,Renta Variable,1016,5426400,1468,PN,2024,4
2024,3,27,10026419826,Renta Variable,1005,90535,1466,PN,2024,3
2023,12,7,10041560001,Renta Variable,1004,1227500,1466,PN,2023,12
2024,3,22,10039553126,FICs,1018,651375.79,1466,PN,2024,3
2024,5,3,10039616197,Renta Variable,1005,95300,1466,PN,2024,5
2024,3,5,1.00114E+12,Renta Variable,1004,2240000,1466,PN,2024,3
2024,3,22,1.00114E+12,FICs,10007,10437.11,1468,PN,2024,3
2024,3,25,10039616197,Renta Variable,1005,90535,1466,PN,2024,3
2024,3,21,10039616197,Renta Variable,1004,2125000,1466,PN,2024,3
2023,12,14,10079414250,Renta Variable,1004,1250000,1466,PN,2023,12
2024,2,13,10079142847,Renta Variable,1004,3432660,1468,PF,2024,2
2024,3,25,1.00109E+12,FICs,10007,1752.13,1468,PN,2024,3
2023,11,29,10066848163,FICs,10007,453430.08,1466,PN,2023,11
2024,1,16,1.00101E+12,FICs,10007,30374907.85,1468,PN,2024,1
2024,4,3,10032184607,Renta Variable,1015,7380000,1468,PN,2024,4
2023,12,4,10020203023,FICs,1020,62762899.98,1468,PR,2023,12
2024,2,22,10042890695,FICs,10007,30120648.52,None,PN,2024,2
2024,4,9,10032184607,Renta Variable,1011,9285860,1468,PN,2024,4
2023,12,4,10041560001,Renta Variable,1004,1272500,1466,PN,2023,12
2024,1,23,10020203023,Renta Fija,1000,364391500,1468,PR,2024,1
2024,1,15,10039616197,Renta Variable,1004,2375000,1466,PN,2024,1
2024,2,7,1.00901E+11,FICs,1019,1049930199,1467,EG,2024,2
2023,11,30,10032184607,Renta Variable,1022,5233011.12,1468,PN,2023,11
2024,1,9,10071747544,FICs,10007,611274.1,1469,PN,2024,1
2024,3,21,1.00902E+11,FICs,1019,1057870312,1467,PF,2024,3
2024,3,4,10020203023,FICs,1008,155929520.5,1468,PR,2024,3
2024,2,26,10066848163,FICs,10007,2551428.7,1466,PN,2024,2
2024,4,3,10066848163,FICs,10007,6895173.37,1466,PN,2024,4
2024,4,10,1.00105E+12,Renta Variable,1004,2290000,1466,PN,2024,4
2024,4,19,10039616197,Renta Variable,1005,95300,1466,PN,2024,4
2024,2,22,1.00101E+12,FICs,10007,31509405.01,1468,PN,2024,2
2023,12,5,10079142847,Renta Variable,1014,3240700,1468,PF,2023,12
2023,12,8,10079142847,Renta Variable,1017,1925100,1468,PF,2023,12
2024,2,2,1.008E+11,FICs,1019,425482589.9,1467,PY,2024,2
2024,3,25,10020203023,FICs,1008,156741145.6,1468,PR,2024,3
2024,1,4,10014876058,Renta Variable,1012,7482080,1466,PN,2024,1
2024,1,8,10026419826,Renta Variable,1005,86723,1466,PN,2024,1
2023,12,12,10039553126,FICs,1018,621363.01,1466,PN,2023,12
2023,12,1,10039616197,Renta Variable,1012,12855680,1466,PN,2023,12
2024,4,12,1.00109E+12,FICs,10007,1755.27,1468,PN,2024,4
2023,12,13,10039616197,Renta Variable,1012,13144000,1466,PN,2023,12
2023,12,15,1.009E+11,FICs,1019,21499438.09,1467,PF,2023,12
2024,2,29,1.00103E+12,Renta Variable,1004,1150000,1468,PN,2024,2
2024,1,26,10039553126,FICs,1018,641513.22,1466,PN,2024,1
2024,1,4,10032184607,Renta Variable,1016,4628400,1468,PN,2024,1
2024,3,12,1.00114E+12,FICs,10007,10407.03,1468,PN,2024,3
2024,4,5,1.00105E+12,Renta Variable,1004,2320000,1466,PN,2024,4
2024,5,6,1.008E+11,FICs,1019,533620465.6,1467,PY,2024,5
2024,1,5,10038643094,FICs,10007,282914.23,1466,PN,2024,1
2024,2,14,10026419826,Renta Variable,1005,101018,1466,PN,2024,2
2024,3,20,10020203023,FICs,1020,65050062.63,1468,PR,2024,3
2024,2,19,1.008E+11,FICs,1019,230660264.6,1467,PY,2024,2
2024,3,27,1.008E+11,FICs,1019,318746714.5,1467,PY,2024,3
2024,4,2,10079142847,Renta Variable,1004,3254340,1468,PF,2024,4
2024,2,16,10039616197,Renta Variable,1004,2275000,1466,PN,2024,2
2024,3,28,10036346714,Renta Variable,1004,1037500,1466,PN,2024,3
2024,3,4,10020203023,FICs,1019,133839694.4,1468,PR,2024,3
2024,1,5,1004870235,Renta Variable,1004,7960550,1469,PN,2024,1
2023,12,11,10038643094,FICs,10007,278896.04,1466,PN,2023,12
2024,1,15,1.00114E+12,FICs,10007,10236.98,1468,PN,2024,1
2024,1,25,1.00114E+12,FICs,10007,10256.59,1468,PN,2024,1
2024,3,21,1.00101E+12,FICs,10007,30753193.8,1468,PN,2024,3
2024,2,28,10032184607,Renta Variable,None,4539900,1468,PN,2024,2
2024,3,27,10032184607,Renta Variable,1015,7300000,1468,PN,2024,3
2024,4,10,1.008E+11,FICs,1019,1090008018,1467,PY,2024,4
2024,2,9,10098522488,Renta Variable,1004,3510000,1466,PN,2024,2
2023,12,19,10038643094,FICs,10007,280217.67,1466,PN,2023,12
2024,1,8,10032184607,Renta Variable,1016,4979520,1468,PN,2024,1
2024,1,15,10038643094,Renta Variable,1005,83864,1466,PN,2024,1
2023,12,4,1004870235,Renta Variable,1004,8423950,1469,PN,2023,12
2024,1,15,10020203023,FICs,10007,9954358.42,1468,PR,2024,1
2024,2,12,1.0083E+11,Renta Variable,1005,168328,1466,PY,2024,2
2024,1,8,1.008E+11,FICs,1019,423026696,1467,PY,2024,1
2024,3,11,10032184607,Renta Variable,1014,7018000,1468,PN,2024,3
2024,3,27,10032184607,Renta Variable,1016,5290740,1468,PN,2024,3
2023,11,29,10039553126,FICs,1018,618123.44,1466,PN,2023,11
2024,3,18,10079142847,Renta Variable,1017,2808600,1468,PF,2024,3
2024,4,29,10020203023,Renta Fija,1000,367610400,1468,PR,2024,4
2024,3,12,10039553126,FICs,1018,650172.99,1466,PN,2024,3
2024,1,25,1.00114E+12,Renta Variable,1004,2290000,1466,PN,2024,1
2023,12,7,1.00901E+11,FICs,1019,1028808222,1467,EG,2023,12
2024,3,12,10032184607,Renta Variable,1022,3941860.56,1468,PN,2024,3
2024,5,10,10020203023,FICs,1019,122214751.3,1468,PR,2024,5
2024,5,2,10020203023,Renta Fija,1001,666673500,1468,PR,2024,5
2024,2,9,10020203023,FICs,1010,151298572.1,1468,PR,2024,2
2024,5,15,10038643094,FICs,10007,292783.86,1466,PN,2024,5
2024,1,24,10014876058,Renta Variable,1012,7815440,1466,PN,2024,1
2024,2,5,1.009E+11,FICs,10007,1009010945,1467,PF,2024,2
2023,12,1,10039616197,Renta Variable,1004,2520000,1466,PN,2023,12
2024,4,1,1.009E+11,FICs,1019,22223442.63,1467,PF,2024,4
2024,4,30,10039616197,Renta Variable,1005,95300,1466,PN,2024,4
2024,2,14,10039616197,Renta Variable,1005,101018,1466,PN,2024,2
2024,3,28,10032184607,FICs,1019,78003.02,1468,PN,2024,3
2024,3,19,10039538018,FICs,10007,336516.99,1468,PN,2024,3
2024,4,11,10071747544,FICs,10007,372141.47,1469,PN,2024,4
2024,4,30,10039553126,FICs,1018,648157.61,1466,PN,2024,4
2024,3,4,10032184607,Renta Variable,1022,3941860.56,1468,PN,2024,3
2023,12,5,10079142847,Renta Variable,1004,3781870,1468,PF,2023,12
2024,4,1,10079142847,Renta Variable,1004,3083450,1468,PF,2024,4
2024,3,7,1.009E+11,FICs,1019,22071668.65,1467,PF,2024,3
2024,3,5,1.00114E+12,FICs,10007,10381.48,1468,PN,2024,3
2024,2,8,10014876058,Renta Variable,1012,7759880,1466,PN,2024,2
2024,2,26,1004870235,Renta Variable,1004,7745400,1469,PN,2024,2
2024,3,6,10039616197,Renta Variable,1004,2120000,1466,PN,2024,3
2023,12,13,1.00902E+11,FICs,1019,1024829836,1467,PF,2023,12
2024,2,26,1.009E+11,FICs,10007,1533000550,1467,PF,2024,2
2024,2,27,10042890695,FICs,10007,30124916.4,None,PN,2024,2
2024,3,19,1.00902E+11,FICs,1019,1057239369,1467,PF,2024,3
2024,5,9,10079142847,Renta Variable,1004,3388080,1468,PF,2024,5
2024,2,23,10032184607,Renta Variable,1011,8151500,1468,PN,2024,2
2024,3,4,10021382511,Renta Variable,1004,2240000,1466,PN,2024,3
2024,3,12,10079142847,Renta Variable,1004,3061160,1468,PF,2024,3
2023,12,20,10042890695,FICs,10007,33432406.28,None,PN,2023,12
2024,3,27,10071747544,FICs,10007,371236.56,1469,PN,2024,3
2024,5,1,10032184607,Renta Variable,1015,7110000,1468,PN,2024,5
2024,5,3,1004870235,Renta Variable,1004,7464050,1469,PN,2024,5
2024,3,28,1.008E+11,FICs,1019,318746714.5,1467,PY,2024,3
2024,2,12,10026419826,Renta Variable,1005,101018,1466,PN,2024,2
2024,3,12,10032184607,Renta Variable,1016,5131140,1468,PN,2024,3
2024,3,18,10039553126,FICs,1018,650463.7,1466,PN,2024,3
2024,5,1,10039616197,Renta Variable,1004,2310000,1466,PN,2024,5
2024,1,16,10020203023,FICs,1019,113990593,1468,PR,2024,1
2024,2,1,1.00114E+12,Renta Variable,1004,2335000,1466,PN,2024,2
2024,3,19,1.0083E+11,Renta Variable,1005,150860,1466,PY,2024,3
2024,4,5,10020203023,FICs,1020,65402241.7,1468,PR,2024,4
2024,4,30,10020203023,FICs,1019,121845625.2,1468,PR,2024,4
2024,1,9,10079142847,Renta Variable,1004,3633270,1468,PF,2024,1
2023,12,11,10014876058,Renta Variable,1012,7315400,1466,PN,2023,12
2024,3,22,10039616197,Renta Variable,1004,2125000,1466,PN,2024,3
2024,3,27,10032184607,Renta Variable,1002,11580000,1468,PN,2024,3
2024,3,25,10032184607,Renta Variable,1014,7255600,1468,PN,2024,3
2024,3,4,10039616197,Renta Variable,1012,14297280,1466,PN,2024,3
2024,5,14,1.00902E+11,FICs,1019,1071507149,1467,PF,2024,5
2024,4,16,1.00109E+12,FICs,10007,1757.05,1468,PN,2024,4
2023,12,7,10020203023,FICs,10007,10116509.86,1468,PR,2023,12
2024,4,3,10098522488,Renta Variable,1004,3285000,1466,PN,2024,4
2024,1,30,10039538018,FICs,10007,331490.14,1468,PN,2024,1
2024,3,7,10020203023,Renta Fija,1000,366221300,1468,PR,2024,3
2023,12,1,1.0089E+11,FICs,1008,21359156.42,1468,PR,2023,12
2024,5,3,10039616197,Renta Variable,1012,15942400,1466,PN,2024,5
2024,3,13,10032184607,Renta Variable,1017,7456000,1468,PN,2024,3
2024,3,28,10039616197,Renta Variable,1005,90535,1466,PN,2024,3
2024,1,15,10039616197,Renta Variable,1004,2375000,1466,PN,2024,1
2024,2,13,1.00901E+11,FICs,1019,1052198357,1467,EG,2024,2
2024,1,19,10032184607,Renta Variable,1016,5290740,1468,PN,2024,1
2024,4,12,10032184607,FICs,1019,78213.72,1468,PN,2024,4
2024,3,8,10020203023,FICs,10007,148324037.1,1468,PR,2024,3
2023,12,8,10039616197,Renta Variable,1004,2465000,1466,PN,2023,12
2024,4,19,1.0089E+11,FICs,1019,148503165,1468,PR,2024,4
2023,12,6,10032184607,Renta Variable,1022,5233011.12,1468,PN,2023,12
2024,5,3,1.00902E+11,FICs,1019,1068177476,1467,PF,2024,5
2023,11,30,10020203023,FICs,10007,12097467.7,1468,PR,2023,11
2024,3,4,10039616197,Renta Variable,1004,2240000,1466,PN,2024,3
2024,4,5,1.008E+11,FICs,1019,719358026.5,1467,PY,2024,4
2023,12,8,10071747544,FICs,10007,601424.12,1469,PN,2023,12
2024,3,29,10021382511,Renta Variable,1004,2075000,1466,PN,2024,3
2023,12,20,10026419826,Renta Variable,1005,74810.5,1466,PN,2023,12
2024,4,22,10020203023,FICs,10007,98002124.03,1468,PR,2024,4
2023,12,4,1.00101E+12,FICs,10007,33990805.57,1468,PN,2023,12
2024,1,18,10032184607,Renta Variable,1014,6824400,1468,PN,2024,1
2024,3,26,10039616197,Renta Variable,1005,90535,1466,PN,2024,3
2024,4,4,1004870235,Renta Variable,1004,7248900,1469,PN,2024,4
2024,1,3,1.008E+11,FICs,1019,422252236.1,1467,PY,2024,1
2024,2,27,10036346714,Renta Variable,1004,1170000,1466,PN,2024,2
2024,5,10,10020203023,FICs,None,389552030.3,1468,PR,2024,5
2024,1,31,10066848163,FICs,10007,1703851.36,1466,PN,2024,1
2023,11,27,10038643094,FICs,10007,277675.54,1466,PN,2023,11
2024,4,25,10038643094,FICs,10007,291081.45,1466,PN,2024,4
2024,4,30,10039616197,Renta Variable,1005,95300,1466,PN,2024,4
2024,5,9,10032184607,Renta Variable,1017,9400000,1468,PN,2024,5
2024,4,3,1004870235,Renta Variable,1004,7248900,1469,PN,2024,4
2023,12,5,10032184607,Renta Variable,None,3901650,1468,PN,2023,12
2024,3,21,10038643094,FICs,1018,86680480.24,1466,PN,2024,3
2023,12,4,1.0083E+11,Renta Variable,1005,124658,1466,PY,2023,12
2024,4,18,10041560001,Renta Variable,1004,1115000,1466,PN,2024,4
2024,1,19,1.00114E+12,Renta Variable,1004,2300000,1466,PN,2024,1
2024,4,16,1004870235,Renta Variable,1004,7414400,1469,PN,2024,4
2023,12,6,10020203023,FICs,1008,100308815.6,1468,PR,2023,12
2024,4,18,10032184607,Renta Variable,1002,12150000,1468,PN,2024,4
2024,1,4,1.009E+11,FICs,1019,21686665.81,1467,PF,2024,1
2024,5,6,10038643094,FICs,10007,291977.26,1466,PN,2024,5
2024,2,22,1.009E+11,FICs,10007,1532783366,1467,PF,2024,2
2024,4,24,10026419826,Renta Variable,1005,95300,1466,PN,2024,4
2023,11,24,10071747544,FICs,10007,598676.02,1469,PN,2023,11
2024,3,18,10039616197,Renta Variable,1012,16926080,1466,PN,2024,3
